Timestamp,Value1,Value2
2021-02-03 11:17:42,746632,773
2021-02-04 02:20:01,326333,66
2021-02-04 05:58:05,444106,364
2021-02-04 05:58:05,152376,222
2021-02-04 05:58:05,355469,1030
2021-02-04 05:58:05,558914,1040
2021-02-04 07:56:32,188468,66
2021-02-04 07:56:33,740168,416
2021-02-04 08:50:12,121836,788
2021-02-04 08:50:12,1053346,593
2021-02-04 09:17:39,977054,974
2021-02-04 09:17:43,705156,649
2021-02-04 14:29:48,493569,130
2021-02-04 14:30:04,424079,773
2021-02-04 14:30:04,86808,882
2021-02-04 14:30:06,82449,122
2021-02-04 14:30:06,264571,750
2021-02-04 14:37:16,182929,1142
2021-02-04 20:07:50,172411,1356
2021-02-04 20:43:46,560608,1021
2021-02-04 21:29:49,417660,642
2021-02-05 04:21:30,413652,1217
2021-02-05 04:21:31,231332,351
2021-02-05 15:54:30,122026,574
2021-02-06 01:56:32,449289,1021
2021-02-06 02:11:27,265407,699
2021-02-06 02:29:31,321454,854
2021-02-06 02:29:32,1042131,1608
2021-02-06 02:29:32,143837,881
2021-02-06 02:29:32,470905,1751
2021-02-06 08:04:12,160982,1310
2021-02-06 08:04:12,42360,122
2021-02-06 08:04:12,417652,1896
2021-02-06 08:04:12,168034,1039
2021-02-06 08:09:50,566830,1123
2021-02-06 09:14:28,593324,131
2021-02-06 09:41:47,116180,797
2021-02-06 09:53:57,97892,909
2021-02-06 11:53:00,237964,1003
2021-02-06 12:08:50,1067746,1021
2021-02-06 13:09:23,183193,259
2021-02-06 14:37:24,7081,606
2021-02-07 09:41:58,335121,1124
2021-02-07 10:31:13,1058530,1557
2021-02-07 10:31:13,67799,145
2021-02-07 10:43:14,609046,830
2021-02-07 16:20:18,633964,1422
2021-02-07 17:15:18,469877,1664
2021-02-07 17:15:18,1032567,550
2021-02-07 17:55:51,1018113,114
2021-02-07 20:06:40,589270,424
2021-02-08 01:37:14,348276,699
2021-02-08 14:50:31,247657,385
2021-02-08 15:52:30,256855,1077
2021-02-08 16:24:06,111447,723
2021-02-08 16:24:07,136926,1077
2021-02-08 16:53:02,506389,1363
2021-02-08 17:02:04,316682,177
2021-02-08 17:02:05,284605,1133
2021-02-08 17:02:07,36282,354
2021-02-08 18:38:26,221709,1160
2021-02-08 19:26:34,913950,1184
2021-02-08 19:26:34,410306,380
2021-02-08 19:26:34,424079,336
2021-02-08 19:55:14,111447,1217
2021-02-09 03:00:25,208697,66
2021-02-09 15:09:29,173775,593
2021-02-09 15:09:30,468789,1206
2021-02-09 15:09:31,707134,303
2021-02-09 15:09:31,463022,382
2021-02-09 15:58:41,633664,947
2021-02-09 15:58:42,339824,96
2021-02-09 15:58:45,105925,1123
2021-02-09 16:56:58,204816,983
2021-02-09 16:56:59,740400,848
2021-02-09 16:57:00,86808,909
2021-02-09 16:57:00,57756,755
2021-02-09 17:40:11,604505,84
2021-02-09 17:40:13,702224,513
2021-02-09 17:40:13,218871,1142
2021-02-09 17:40:15,240433,2227
2021-02-09 22:49:01,750001,1356
2021-02-09 22:49:01,633664,363
2021-02-10 00:10:56,155563,1654
2021-02-10 00:17:05,660562,248
2021-02-10 00:54:07,108568,1687
2021-02-10 07:44:40,170549,918
2021-02-10 07:44:41,239884,364
2021-02-10 08:27:53,82449,47
2021-02-10 23:21:46,796887,1022
2021-02-10 23:21:46,423656,736
2021-02-10 23:21:46,634191,828
2021-02-10 23:21:47,1007826,1040
2021-02-11 01:45:14,272185,1337
2021-02-11 02:35:13,225245,557
2021-02-11 02:35:13,133741,1077
2021-02-11 03:47:52,136687,1254
2021-02-11 05:01:17,771265,993
2021-02-11 06:00:25,116180,1095
2021-02-11 06:00:25,565816,333
2021-02-11 06:20:51,196511,844
2021-02-11 06:20:52,810230,301
2021-02-11 06:21:03,802040,531
2021-02-11 15:10:39,1053346,1123
2021-02-11 15:53:14,190312,163
2021-02-12 05:44:33,56765,1160
2021-02-12 06:16:19,755186,513
2021-02-12 06:50:43,1013152,522
2021-02-13 02:49:46,464173,491
2021-02-13 05:14:20,250628,834
2021-02-13 05:14:20,417652,1641
2021-02-13 05:14:21,316957,751
